Singer,SingerID,,,,
21 Savage,1URnnhqYAYcrqrcwql10ft,,,,
4 Non Blondes,0Je74SitssvJg1w4Ra2EK7,,,,
5 Seconds Of Summer,5Rl15oVamLq7FbSb0NNBNy,,,,
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,,,,
Adam Levine,4bYPcJP5jwMhSivRcqie2n,,,,
Adele,4dpARuHxo51G3z768sgnrY,,,,
Against The Current,6yhD1KjhLxIETFF7vIRf8B,,,,
AJR,6s22t5Y3prQHyaHWUN1R1C,,,,
Alan Walker,7vk5e3vY1uw9plTHJAMwjN,,,,
Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,,,,
Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,,,,
Alicia Keys,3DiDSECUqqY1AuBP8qtaIa,,,,
Alok,0NGAZxHanS9e0iNHpR8f2W,,,,
Amadou & Mariam,3KH7WsR2JZQ94Ik8SyabU6,,,,
Amos Lee,0QrowybipCKUDnq5y10PD2,,,,
Anastacia,2siHvYaxjaW5rKVRiIrMYH,,,,
Anberlin,5v61OSg53KaQxGMpErkBNp,,,,
Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,,,,
Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,,,,
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,,,,
ASTR,3GJhraAgCA8s8XHENnDsXq,,,,
Atmosphere,1GAS0rb4L8VTPvizAx2O9J,,,,
Autre Ne Veut,7MC5zmK3iZHzPqGZEVSROe,,,,
Avicii,1vCWHaC5f2uS3yhpwWbIA6,,,,
Avril Lavigne,0p4nmQO2msCgU4IF37Wi3j,,,,
Backstreet Boys,5rSXSAkZ67PYJSvpUpkOr7,,,,
Baio,50lhyY7UVI9NyVHl79rVgk,,,,
Bassnectar,1JPy5PsJtkhftfdr6saN2i,,,,
Beach House,56ZTgzPBDge0OvCGgMO3OY,,,,
Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,,,,
Best Coast,5YkBrE0wF8cAlq3GCOw5Eu,,,,
Beyonce,6vWDO969PvNqNYHIOW5v0m,,,,
Bibio,0qzzGu8qpbXYpzgV52wOFT,,,,
Big Sean,0c173mlxpT3dSFRgMO8XPh,,,,
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,,,,
Birdy,2WX2uTcsvV5OnS0inACecP,,,,
Blood Orange,6LEeAFiJF8OuPx747e1wxR,,,,
Bob Dylan,74ASZWbe4lXaubB36ztrGX,,,,
Bradley Cooper,4VIvfOurcf0vuLRxLkGnIG,,,,
Brazilian Girls,6HdYUuBeK3g2MA2wGVCDcn,,,,
Breaking Benjamin,5BtHciL0e0zOP7prIHn3pP,,,,
Bright Eyes,5o206eFLx38glA2bb4zqIU,,,,
Bring Me The Horizon,1Ffb6ejR6Fe5IamqA5oRUF,,,,
Britney Spears,26dSoYclwsYLMAKD3tpOr4,,,,
Brown Bird,5zzbSFZMVpvxSlWAkqqtHP,,,,
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,,,,
Bryan Adams,3Z02hBLubJxuFJfhacLSDc,,,,
Calum Scott,6ydoSd3N2mwgwBHtF6K7eX,,,,
Calvin Harris,7CajNmpbOovFoOoasH2HaY,,,,
Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,,,,
Caribou,4aEnNH9PuU1HF3TsZTru54,,,,
Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,,,,
Cat Power,6G7OerKc3eBO9sVkRNopFC,,,,
Cathedrals,7HIjKw4rHS0MtmV0cqSlpB,,,,
Cayucas,7LLcRttKjV6PeJOlCNCYon,,,,
Celine Dion,4S9EykWXhStSc15wEx8QFK,,,,
Central Line,3k5CKYmmh2MjzAl9Xo5tpt,,,,
CHANYEOL,6jV25rzTKQ2zMgrqHha1V5,,,,
Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,,,,
Cheat Codes,7DMveApC7UnC2NPfPvlHSU,,,,
Chief Keef,15iVAtD3s3FsQR4w1v6M0P,,,,
Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,,,,X
Chris Brown,7bXgB6jMjp9ATFy66eO08Z,,,,X
Chris Jeday,0qTZZWLzuD59Un5r1speHm,,,,
Chris Lake ,5Igpc9iLZ3YGtKeYfSrrOE,,,,
Christina Aguilera,1l7ZsJRRS8wlW3WfJfPfNS,,,,
Christina Perri,7H55rcKCfwqkyDFH9wpKM6,,,,X
Christopher Owens,0ukgSx1gUt5rUihbNh46qy,,,,
Chrome Sparks,2pTCZ9C1fXdaVlv6d5EIXM,,,,
Chromeo,2mV8aJphiSHYJf43DxL7Gt,,,,
CHVRCHES,3CjlHNtplJyTf9npxaPl5w,,,,
Clean Bandit,6MDME20pz9RveH9rEXvrOM,,,,
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,,,,
Counting Crows,0vEsuISMWAKNctLlUAhSZC,,,,
Cream,74oJ4qxwOZvX6oSsu1DGnw,,,,X
Crystal Castles,7K3zpFXBvPcvzhj7zlGJdO,,,,
Cut Copy,4EENT7N7rCBwrddM3s0vFS,,,,
Cyndi Lauper,2BTZIqw0ntH9MvilQ3ewNY,,,,
D. Gookin,7rRz5zPounzREHN0cIrYhS,,,,
Daughtry,5P5FTygHyx2G57oszR3Wot,,,,
David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,,,,
Daya,6Dd3NScHWwnW6obMFbl1BH,,,,
Dean Lewis,3QSQFmccmX81fWCUSPTS7y,,,,
Deerhunter,38zTZcuN7nFvVJ6auhc6V3,,,,
Demi Lovato,6S2OmqARrzebs0tKUEyXyp,,,,
Disclosure,6nS5roXSAGhTGr34W6n7Et,,,,X
DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,,,,
Dr. John,320TrJub4arztwXRm7kqVO,,,,X
Drake,3TVXtAsR1Inumwj472S9r4,,,,
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,,,,
Duck Sauce,0q8J3Yj810t5cpAYEJ7gxt,,,,
5zaXYwewAXedKNCff45U5l,5zaXYwewAXedKNCff45U5l,,,,
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,,,,
Eels,3zunDAtRDg7kflREzWAhxl,,,,
Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,,,,
Elohim,6wKxOKEA3K6R2UZ3COLXEY,,,,
Elton John,3PhoLpVuITZKcymswpck5b,,,,
Enrique Iglesias,7qG3b048QCHVRO5Pv1T5lw,,,,
Eric Burdon,3miNucraVWk4hdVsIxn7id,,,,
Erkin Koray,4o3Nv2BAyoZkyGaRXv4rT3,,,,X
Fall Out Boy,4UXqAaa6dQYAk18Lv7PEgX,,,,
Family of the Year,7zsin6IgVsR1rqSRCNYDwq,,,,
Father,10AY17ALos2o3akPqrPydw,,,,
Feathers,5NLeBktPpw4QO31tMiSO2I,,,,
Fela Kuti,5CG9X521RDFWCuAhlo6QoR,,,,
Fetty Wap,6PXS4YHDkKvl1wkIl4V8DL,,,,
Fifth Harmony,1l8Fu6IkuTP0U5QetQJ5Xt,,,,
FISHER,1VJ0briNOlXRtJUAzoUJdt,,,,
FKA twigs,6nB0iY1cjSY1KyhYyuIIKH,,,,
Foxygen,55LHFEtIplWhsfyWZUwkf4,,,,
Frank Ocean,2h93pZq0e7k5yf4dywlkpM,,,,
French Montana,6vXTefBL93Dj5IqAWq6OTv,,,,
Funkadelic,450o9jw6AtiQlQkHCdH6Ru,,,,
Future,1RyvyyTE3xzB2ZywiAwp0i,,,,
Future Islands,1WvvwcQx0tj6NdDhZZ2zZz,,,,
Gavin James,25tMQOrIU4LlUo6Sv8v5SE,,,,
Gayngs,3OUN7gnsDijEfvaHpXAAzI,,,,X
Generationals,57MtJQ6Sc4tIxrXIhrqVJL,,,,
George Ezra,2ysnwxxNtSgbb9t1m2Ur4j,,,,
Glen Hansard,3Caot8EtHX6wLpNF2wRzS0,,,,
Grace VanderWaal,3YdT8QvV4QvY4DfVJhxdcZ,,,,
Grimes,053q0ukIDRgzwTr4vNSwab,,,,
Guillemots,3zD5liDjbqljSRorrrcEjs,,,,
Hailee Steinfeld,5p7f24Rk5HkUZsaS3BLG5F,,,,
HAIM,4Ui2kfOqGujY81UcPrb5KE,,,,
Halsey,26VFTg2z8YR0cCuwLzESi2,,,,
Harry Hudson,3btNpz9NEJ8ml352B8S7Qr,,,,X
Harry Styles,6KImCVD70vtIoJWnq6nGn3,,,,
Hayley Kiyoko,3LjhVl7GzYsza1biQjTpaN,,,,
Hercules & Love Affair,1WHoAjAWGx5qLsgzpaOk7W,,,,
Hermitude,3fmMaLC5jjf2N4EC2kTx0u,,,,
Holy Ghost!,2Vhc7Y0Kc6HzMC6glKM4h6,,,,X
Hugh Jackman,5F1aoppMtU3OMiltO8ymJ2,,,,
ILoveMakonnen,3aGFCoR8xGN6DKwvdzeSja,,,,
Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,,,,
Iselin Solheim,61DLKOR3hcEvTfSWTUKu1h,,,,X
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,,,,
Jacob Lee,4xPR9p75zzDlisJvvhEYl2,,,,
Jagwar Ma,6fEO1r9Y9TYL9O4w5kVPmc,,,,
James Brown,7GaxyUddsPok8BuhxN6OUW,,,,
James Taylor,0vn7UBvSQECKJm2817Yf1P,,,,X
James TW,0B3N0ZINFWvizfa8bKiz4v,,,,
Jamie xx,7A0awCXkE1FtSU8B0qwOJQ,,,,
Jason Mraz,4phGZZrJZRo4ElhRtViYdl,,,,
JENNIE,250b0Wlc5Vk0CoUsaCY84M,,,,
Jeremy Zucker,3gIRvgZssIb9aiirIg0nI3,,,,
Jess Glynne,4ScCswdRlyA23odg9thgIO,,,,
