i,j,survey_track,rec_track,rankvalue_a,rankvalue_l,rankvalue
0,1,1au9q3wiWxIwXTazIjHdfF,5vPVxHRFg8cUwRr8j7yqXf,1.4722296270700943,1.5456319116273278,2.275525092842738
0,2,1au9q3wiWxIwXTazIjHdfF,732iQF09gPlc32IlBGoXvv,1.4458254226053595,1.5317451070561008,2.2146360167330785
0,3,1au9q3wiWxIwXTazIjHdfF,0JXXNGljqupsJaZsgSbMZV,1.4291070548361473,1.5255494873850122,2.180173534923589
0,4,1au9q3wiWxIwXTazIjHdfF,43kmmgGCdJAMn5oOqOY2kd,1.3444469731440924,1.508792840074768,2.028491966940001
0,5,1au9q3wiWxIwXTazIjHdfF,4CszVFNslX9JLvjVPTeqaW,1.3392028759677916,1.5061189562943342,2.016998837818981
0,6,1au9q3wiWxIwXTazIjHdfF,5FjhLFw4Zs9wQWIiiQRpgo,1.3360381643169277,1.5045543329218676,2.0101420090720117
0,7,1au9q3wiWxIwXTazIjHdfF,24Yy3FTpcOkcAbpzRKIFjw,1.3185068878223167,1.5040897027744655,1.9831526330107538
0,8,1au9q3wiWxIwXTazIjHdfF,2NxIp9jbmsnaIiAExWOEo0,1.3097601489265074,1.5031207257964048,1.968727625673619
0,9,1au9q3wiWxIwXTazIjHdfF,74sb4Gib0cL3TQeCjYF8vh,1.2905514497653647,1.5014092592369972,1.9376458961994492
0,10,1au9q3wiWxIwXTazIjHdfF,60wtmXbcX9SBhdOe0koasN,1.2702831131798886,1.5001693721616818,1.90563982036666
0,11,1au9q3wiWxIwXTazIjHdfF,0jDzF53LecgvsnlWmmU2kX,1.2690327949360372,1.4987775165506056,1.9019978208155077
0,12,1au9q3wiWxIwXTazIjHdfF,6mfUwnHd7OTYPEWmOsvJsn,1.255350268469024,1.4986653909974688,1.8813500009339075
0,13,1au9q3wiWxIwXTazIjHdfF,2Ua5Nq3gQRPAJqnK8Nb8AQ,1.252556190472586,1.4963725087375603,1.8742906490722249
0,14,1au9q3wiWxIwXTazIjHdfF,5Y4KPoGudwsnrNWtWXrcSi,1.2273422011186137,1.4940512857158452,1.8337121935945804
0,15,1au9q3wiWxIwXTazIjHdfF,4T2qnyKCo9UISjERbIeJQg,1.2026292812965005,1.4935867101329574,1.796231111761203
0,16,1au9q3wiWxIwXTazIjHdfF,3sC62j1Cjeea5tAhcyGcs8,1.1867785350467397,1.4923484184173297,1.7710870697886374
0,17,1au9q3wiWxIwXTazIjHdfF,5eP4WD4hvS9sYpQukzX3QG,1.1863635392616991,1.4905302996255392,1.7683108016405555
0,18,1au9q3wiWxIwXTazIjHdfF,4EWCNWgDS8707fNSZ1oaA5,1.1805386713068615,1.4887478661401483,1.757524427804016
0,19,1au9q3wiWxIwXTazIjHdfF,5E30LdtzQTGqRvNd7l6kG5,1.1746606489192626,1.4862193799450396,1.7458034212826243
0,20,1au9q3wiWxIwXTazIjHdfF,4JOP8ELK6AaeySe7sKe996,1.174002520908448,1.4851229477296866,1.7435380844936372
1,1,1ExfPZEiahqhLyajhybFeS,4piX3WwKpTInJ4KNiAqTI6,3.4751235384197043,4.063323205311304,14.120550114984315
1,2,1ExfPZEiahqhLyajhybFeS,6HojDglE8E3EA7SbTLE8VF,3.4674421745772386,4.0199320308432505,13.938881862679816
1,3,1ExfPZEiahqhLyajhybFeS,2SEXsl9UShqKSc3inzSpIX,3.4180435779315217,4.009598511439181,13.704982442108482
1,4,1ExfPZEiahqhLyajhybFeS,5U0tKveVl4lw0DaWvb1Tex,3.383846932439801,4.0091033682169215,13.566192134374903
1,5,1ExfPZEiahqhLyajhybFeS,1LisgLkjosfSP1WxYXjqKE,3.357265102944338,4.00284122736096,13.438599165245835
1,6,1ExfPZEiahqhLyajhybFeS,6JUnflvdkYvbzsp6zWpaCZ,3.349354874585396,3.9778177690197314,13.323123334878643
1,7,1ExfPZEiahqhLyajhybFeS,7EzdQnopwog0YWUoRBEowX,3.337114939098236,3.972441648804593,13.256494370921837
1,8,1ExfPZEiahqhLyajhybFeS,2UOytD96KzsV0PyDI9uPTu,3.3190407971073204,3.9597096186055296,13.142437768850021
1,9,1ExfPZEiahqhLyajhybFeS,0kOgBaBHZMxtFonNgTpFOT,3.3148022815965743,3.9542611878987066,13.107594007675413
1,10,1ExfPZEiahqhLyajhybFeS,6PS9AdyOKTPwlDPfLzJ7Ow,3.3109002082112893,3.9494843980147736,13.076348715714353
1,11,1ExfPZEiahqhLyajhybFeS,3VPfc6jUrM7IvgOs9z2jqT,3.310851880259208,3.9371631369567215,13.035363974880404
1,12,1ExfPZEiahqhLyajhybFeS,5mZEmChvCko8MIEP5lLcqP,3.2891135594433334,3.932884964893911,12.935705265763382
1,13,1ExfPZEiahqhLyajhybFeS,0Tb10YKWaSfZBTVM8DjARU,3.2886051998146453,3.9319632123679162,12.930674665673026
1,14,1ExfPZEiahqhLyajhybFeS,20sACDEb4IftthrYsPqDCa,3.2859765231786278,3.9273405919838655,12.905148983785436
1,15,1ExfPZEiahqhLyajhybFeS,5ut3LWywhxxSLUWOS7Rlrc,3.2724911831806534,3.925601947643917,12.846497762341519
1,16,1ExfPZEiahqhLyajhybFeS,6kbRL1WkHrKxHsBrV3ComC,3.2719269108969535,3.9195330121052923,12.8244255404563
1,17,1ExfPZEiahqhLyajhybFeS,7Ks4VCY1wFebnOdJrM13t6,3.2537798455891034,3.916632447675959,12.743859720828354
1,18,1ExfPZEiahqhLyajhybFeS,51z0HjEJ8LvJ9doL1qI14j,3.2451548409051494,3.916573000288524,12.709885831644709
1,19,1ExfPZEiahqhLyajhybFeS,0AHJWgA2mLYz2iFVwbCeod,3.217842228805546,3.9139754976299534,12.594555638783866
1,20,1ExfPZEiahqhLyajhybFeS,2mSjj1apg5WDRw28PttSjs,3.1984578626267886,3.913820999223445,12.518191547880063
2,1,1fLlRApgzxWweF1JTf8yM5,5fSgXNTAh3ImNGfh9jsE9N,0.7431439304376541,0.8090297411682181,0.6012255416927076
2,2,1fLlRApgzxWweF1JTf8yM5,63qgyQv5K7EgD4DiwoqeQ0,0.7411374067128791,0.8087467144088915,0.5993924426045673
2,3,1fLlRApgzxWweF1JTf8yM5,5m9uiFH9sK5wxRZdfN62n9,0.7180972825874561,0.8012408428317973,0.5753688719355966
2,4,1fLlRApgzxWweF1JTf8yM5,7MbII8jWqFiTFYU3MPYEfW,0.7112998032289343,0.8010089720975688,0.5697575242376116
2,5,1fLlRApgzxWweF1JTf8yM5,3MgDUrtEiddcZ1Fz9piMhp,0.7075871684519475,0.8000004904236062,0.5660700817790089
2,6,1fLlRApgzxWweF1JTf8yM5,2LE8DiTLvygUSU5VLFPbi9,0.7030573179410529,0.7971819232544884,0.5604645848743909
2,7,1fLlRApgzxWweF1JTf8yM5,7oQv46c5kSygEcYZ2alEGv,0.6999488942804849,0.7969946192123047,0.5578555024651488
2,8,1fLlRApgzxWweF1JTf8yM5,4UVyvjXmq9DKWLfhsL3SMS,0.6966937905849497,0.7967268408110327,0.5550746427854102
2,9,1fLlRApgzxWweF1JTf8yM5,6wDVNn4STCopwfQ9lFO2iR,0.6942122741008107,0.7959712274366206,0.55257299591759
2,10,1fLlRApgzxWweF1JTf8yM5,1XSJ3mgsnkT9DnhbXl29uf,0.6909580610921661,0.7956344030343886,0.5497500044588641
